Variável,2025.1
Atualização e qualidade do currículo,"36,96%"
Qualidade do trabalho dos docentes,"33,00%"
Condições de infraestrutura,"32,88%"
Oportunidades de prática,"39,04%"
Gestão acadêmica,"16,45%"
Acesso a boas carreiras,"30,19%"
Oportunidades de emprego,"38,55%"
