Periodo Letivo,Variável,Média
2024.2,Expectativa de contribuição,"8,15"
2024.2,Formação de competências,"8,00"
2024.2,Motivação com o curso,"7,74"
2024.2,Probabilidade de desistência,"2,26"
2024.2,Qualidade do curso,"7,96"
2025.1,Expectativa de contribuição,"8,10"
2025.1,Formação de competências,"7,98"
2025.1,Motivação com o curso,"7,79"
2025.1,Probabilidade de desistência,"2,30"
2025.1,Qualidade do curso,"7,97"
